"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC3: Validar seleccionar una opción en el dropdown ""Old Style Select Menu""",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC1: Validar seleccionar una opción en el dropdown ""Select Value""",""
"passed","Fri Jun 14 01:15:33 GMT 2024","Fri Jun 14 01:15:49 GMT 2024","15617","chromium","specs/elements/GX3-2831_Elementos_Buttons.spec.ts","GX3-2831 | TS: ⚡️ToolsQA | Elements | Buttons","","","TC2:Validar hacer click derecho en el boton",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC1:Validar llenar el formulario",""
"passed","Fri Jun 14 01:15:33 GMT 2024","Fri Jun 14 01:15:43 GMT 2024","9644","chromium","specs/elements/GX3-3006_Tools-qa-Elements_Upload_and_Download.spec.ts","GX3-3006 | ToolsQA | Elements | Upload and Download","","","TC2: Validar cargar archivos a demoqa",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC3:Validar email incorrecto",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC5: Validar seleccionar una opción en el dropdown ""Standard multi select""",""
"passed","Fri Jun 14 01:15:49 GMT 2024","Fri Jun 14 01:15:55 GMT 2024","6476","chromium","specs/elements/GX3-2831_Elementos_Buttons.spec.ts","GX3-2831 | TS: ⚡️ToolsQA | Elements | Buttons","","","TC3:Validar hacer click en el boton con id dinamico",""
"passed","Fri Jun 14 01:15:19 GMT 2024","Fri Jun 14 01:15:33 GMT 2024","13880","chromium","specs/elements/GX3-2831_Elementos_Buttons.spec.ts","GX3-2831 | TS: ⚡️ToolsQA | Elements | Buttons","","","TC1:Validar hacer doble click en el boton",""
"passed","Fri Jun 14 01:15:33 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","14276","chromium","specs/elements/GX3-2854_Elementos_Fill_Form_and_Submit.spec.ts","GX3-2854 ","","","TC2: Validar enviar formulario",""
"passed","Fri Jun 14 01:15:19 GMT 2024","Fri Jun 14 01:15:33 GMT 2024","13695","chromium","specs/elements/GX3-3006_Tools-qa-Elements_Upload_and_Download.spec.ts","GX3-3006 | ToolsQA | Elements | Upload and Download","","","TC1: Validar descargar un archivo desde demoqa",""
"passed","Fri Jun 14 01:15:19 GMT 2024","Fri Jun 14 01:15:33 GMT 2024","13827","chromium","specs/elements/GX3-2865_Tools-qa-interactions-selectable.spec.ts","GX3-2865 ToolsQA | Interactions | Selectable","","","GX3-2865 | TC1:Validar seleccionar elementos visualizados en List",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC4:Validar ingresar un valor no numerico en Mobile number",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC2: Validar seleccionar una opción en el dropdown ""Select One""",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","1","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC4: Validar seleccionar todas las opciónes en el dropdown ""Multiselect drop down""",""
"passed","Fri Jun 14 01:15:19 GMT 2024","Fri Jun 14 01:15:33 GMT 2024","13847","chromium","specs/elements/GX3-2854_Elementos_Fill_Form_and_Submit.spec.ts","GX3-2854 ","","","TC1 Validar completar el formulario",""
"skipped","Fri Jun 14 01:15:47 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC2:insertar valores null en el form",""
"passed","Fri Jun 14 01:15:43 GMT 2024","Fri Jun 14 01:15:51 GMT 2024","8545","chromium","specs/example/spacebeyond/checkout/checkout.test.ts","GX3-1740: Space Beyond - Book a destiny on Checkout","","","GX3-1740 | TC1: Should book a destiny on Checkout",""
"passed","Fri Jun 14 01:15:33 GMT 2024","Fri Jun 14 01:15:47 GMT 2024","13549","chromium","specs/elements/GX3-2865_Tools-qa-interactions-selectable.spec.ts","GX3-2865 ToolsQA | Interactions | Selectable","","","GX3-2865 | TC2:Validar seleccionar elementos visualizados en Grid",""
