"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 23:22:15 GMT 2024","Tue Jul 23 23:22:17 GMT 2024","1593","chromium","specs/elements/GX3-4106_SwagLabs_Account.spec.ts","Login tests","","","GX3-4106 | TC1: Validar inicio de sesión exitoso",""
"skipped","Tue Jul 23 23:22:28 GMT 2024","Tue Jul 23 23:22:28 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC3: Validar seleccionar una opción en el dropdown ""Old Style Select Menu""",""
"passed","Tue Jul 23 23:21:35 GMT 2024","Tue Jul 23 23:22:00 GMT 2024","25323","chromium","specs/elements/GX3-2865_Tools-qa-interactions-selectable.spec.ts","GX3-2865 ToolsQA | Interactions | Selectable","","","GX3-2865 | TC1:Validar seleccionar elementos visualizados en List",""
"passed","Tue Jul 23 23:22:19 GMT 2024","Tue Jul 23 23:22:30 GMT 2024","11349","chromium","specs/example/spacebeyond/checkout/checkout.test.ts","GX3-1740: Space Beyond - Book a destiny on Checkout","","","GX3-1740 | TC1: Should book a destiny on Checkout",""
"passed","Tue Jul 23 23:22:17 GMT 2024","Tue Jul 23 23:22:18 GMT 2024","719","chromium","specs/elements/GX3-4106_SwagLabs_Account.spec.ts","Login tests","","","GX3-4106 | TC3: Validar inicio de sesión fallido con campos vacíos",""
"skipped","Tue Jul 23 23:22:28 GMT 2024","Tue Jul 23 23:22:28 GMT 2024","1","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC1:Validar llenar el formulario",""
"passed","Tue Jul 23 23:22:29 GMT 2024","Tue Jul 23 23:22:37 GMT 2024","7509","chromium","specs/elements/GX3-3378_ElementsRadioButtons.test.ts","","","","3379 | TC1: Validar poder seleccionar elemento radio button ""Yes"".",""
"passed","Tue Jul 23 23:21:35 GMT 2024","Tue Jul 23 23:22:01 GMT 2024","25607","chromium","specs/elements/GX3-3006_Tools-qa-Elements_Upload_and_Download.spec.ts","GX3-3006 | ToolsQA | Elements | Upload and Download","","","TC1: Validar descargar un archivo desde demoqa",""
"passed","Tue Jul 23 23:22:55 GMT 2024","Tue Jul 23 23:23:01 GMT 2024","6178","chromium","specs/elements/GX3-3378_ElementsRadioButtons.test.ts","","","","3379 | TC3: Validar que elemento radio button ""No"" esté deshabilitado.",""
"passed","Tue Jul 23 23:22:01 GMT 2024","Tue Jul 23 23:22:15 GMT 2024","14099","chromium","specs/elements/GX3-2854_Elementos_Fill_Form_and_Submit.spec.ts","GX3-2854 ","","","TC2: Validar enviar formulario",""
"passed","Tue Jul 23 23:21:35 GMT 2024","Tue Jul 23 23:22:01 GMT 2024","25820","chromium","specs/elements/GX3-2831_Elementos_Buttons.spec.ts","GX3-2831 | TS: ⚡️ToolsQA | Elements | Buttons","","","TC1:Validar hacer doble click en el boton",""
