"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 16 00:24:58 GMT 2024","Fri Aug 16 00:25:10 GMT 2024","12734","chromium","specs/elements/GX3-3378_ElementsRadioButtons.test.ts","","","","3379 | TC2: Validar poder seleccionar elemento radio button ""Impressive"".",""
"passed","Fri Aug 16 00:24:52 GMT 2024","Fri Aug 16 00:24:53 GMT 2024","1031","chromium","specs/elements/GX3-4106_SwagLabs_Account.spec.ts","Login tests","","","GX3-4106 | TC4: Validar inicio de sesión con usuario bloqueado",""
"passed","Fri Aug 16 00:24:53 GMT 2024","Fri Aug 16 00:25:03 GMT 2024","10320","chromium","specs/elements/GX3-4308_Elements_Buttons.test.ts","GX3-4308 | Elements | Buttons","","","4309 | TC1: Validar hacer doble click en button: ""Double Click Me"".",""
"skipped","Fri Aug 16 00:25:16 GMT 2024","Fri Aug 16 00:25:16 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC3:Validar email incorrecto",""
"skipped","Fri Aug 16 00:25:16 GMT 2024","Fri Aug 16 00:25:16 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC2: Validar seleccionar una opción en el dropdown ""Select One""",""
"skipped","Fri Aug 16 00:25:16 GMT 2024","Fri Aug 16 00:25:16 GMT 2024","1","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC2:insertar valores null en el form",""
"passed","Fri Aug 16 00:24:52 GMT 2024","Fri Aug 16 00:25:00 GMT 2024","7287","chromium","specs/elements/GX3-3334_ElementsButtons.test.ts","TS:GX3-3334 elementsButtons","","","TC2: Validar poder hacer click derecho en button: ""Right Click Me"".",""
"skipped","Fri Aug 16 00:25:16 GMT 2024","Fri Aug 16 00:25:16 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC4: Validar seleccionar todas las opciónes en el dropdown ""Multiselect drop down""",""
"passed","Fri Aug 16 00:24:47 GMT 2024","Fri Aug 16 00:25:00 GMT 2024","13405","chromium","specs/elements/GX3-2831_Elementos_Buttons.spec.ts","GX3-2831 | TS: ⚡️ToolsQA | Elements | Buttons","","","TC3:Validar hacer click en el boton con id dinamico",""
"passed","Fri Aug 16 00:25:16 GMT 2024","Fri Aug 16 00:25:24 GMT 2024","8163","chromium","specs/widgets/GX3-4236-Dropdown-Select.test.ts","GX3-4236: Widgets | Dropdown - Select Menu","","","GX3-4237 | PW TC1: Should select value option from Select Value dropdown-type",""
