"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 14 20:39:28 GMT 2024","Fri Jun 14 20:39:28 GMT 2024","0","chromium","specs/widgets/GX3-2907_Dropdown-SelectMenu.spec.ts","GX3-2907 |ToolsQA | Widgets | Dropdown - Select Menu","","","GX3-2907 | TC3: Validar seleccionar una opción en el dropdown ""Old Style Select Menu""",""
"passed","Fri Jun 14 20:39:26 GMT 2024","Fri Jun 14 20:39:33 GMT 2024","7174","chromium","specs/elements/GX3-3334_ElementsButtons.test.ts","TS:GX3-3334 elementsButtons","","","TC2: Validar poder hacer click derecho en button: ""Right Click Me"".",""
"passed","Fri Jun 14 20:39:16 GMT 2024","Fri Jun 14 20:39:28 GMT 2024","11721","chromium","specs/elements/GX3-2831_Elementos_Buttons.spec.ts","GX3-2831 | TS: ⚡️ToolsQA | Elements | Buttons","","","TC3:Validar hacer click en el boton con id dinamico",""
"passed","Fri Jun 14 20:38:49 GMT 2024","Fri Jun 14 20:39:04 GMT 2024","15158","chromium","specs/elements/GX3-2831_Elementos_Buttons.spec.ts","GX3-2831 | TS: ⚡️ToolsQA | Elements | Buttons","","","TC1:Validar hacer doble click en el boton",""
"passed","Fri Jun 14 20:39:38 GMT 2024","Fri Jun 14 20:39:45 GMT 2024","6900","chromium","specs/elements/GX3-3378_ElementsRadioButtons.test.ts","","","","3379 | TC3: Validar que elemento radio button ""No"" esté deshabilitado.",""
"passed","Fri Jun 14 20:38:49 GMT 2024","Fri Jun 14 20:39:04 GMT 2024","14837","chromium","specs/elements/GX3-3006_Tools-qa-Elements_Upload_and_Download.spec.ts","GX3-3006 | ToolsQA | Elements | Upload and Download","","","TC1: Validar descargar un archivo desde demoqa",""
"passed","Fri Jun 14 20:39:19 GMT 2024","Fri Jun 14 20:39:30 GMT 2024","11248","chromium","specs/elements/GX3-3378_ElementsRadioButtons.test.ts","","","","3379 | TC1: Validar poder seleccionar elemento radio button ""Yes"".",""
"passed","Fri Jun 14 20:39:18 GMT 2024","Fri Jun 14 20:39:26 GMT 2024","7230","chromium","specs/elements/GX3-3334_ElementsButtons.test.ts","TS:GX3-3334 elementsButtons","","","TC1: Validar poder hacer doble click en button: ""Double Click Me"".",""
"skipped","Fri Jun 14 20:39:28 GMT 2024","Fri Jun 14 20:39:28 GMT 2024","0","chromium","specs/forms/GX3-3047_Practice-Form.spec.ts","GX3-3047_Practice-Form","","","TC1:Validar llenar el formulario",""
"passed","Fri Jun 14 20:39:33 GMT 2024","Fri Jun 14 20:39:39 GMT 2024","6093","chromium","specs/elements/GX3-3334_ElementsButtons.test.ts","TS:GX3-3334 elementsButtons","","","TC3: Validar poder hacer click izquierdo en button: ""Click Me"".",""
